"","species","first.leg","pedipalp","face","second.leg","third.leg","mds_ponts"
"1","habronattus_aestus",4,5,1,2,2,-3.30905913458118
"2","habronattus_altanus",1,4,1,0,1,0.556262265629891
"3","habronattus_americanus",5,5,5,3,3,-4.20997666433773
"4","habronattus_aztecanus",2,0,4,2,4,1.28341464942907
"5","habronattus_borealis",3,2,4,1,1,0.34060655100389
"6","habronattus_c_maddisoni",4,2,0,0,0,-0.0343581661762394
"7","habronattus_cambridgei",4,5,3,4,2,-4.24473773020738
"8","habronattus_captisosus",0,1,2,0,2,3.12035326250526
"9","habronattus_chamela",2,3,4,1,3,0.0534287791565751
"10","habronattus_clypeatus",1,1,5,1,0,2.51814587945971
"11","habronattus_conjunctus",0,0,2,0,0,4.04547215782092
"12","habronattus_decorus",0,1,3,0,0,3.50976394808044
"13","habronattus_empryus",1,1,5,1,3,2.10527338008799
"14","habronattus_festus",0,0,3,0,2,3.88438617756715
"15","habronattus_geronimoi",2,2,1,2,1,0.0540589660162969
"16","habronattus_gilaensis",3,2,1,2,3,-0.859130490366522
"17","habronattus_hallani",4,0,5,4,4,-1.04230854579452
"18","habronattus_hirsutus",4,2,3,3,1,-1.57550022607278
"19","habronattus_icenoglei",5,4,3,5,1,-4.67718577529111
"20","habronattus_jucundus",4,3,1,0,1,-0.70769054237395
"21","habronattus_luminosus",2,3,4,2,1,-0.25332453840276
"22","habronattus_mexicanus",1,1,3,0,2,2.59657449169762
"23","habronattus_ophrys",4,4,3,3,1,-2.87524135087515
"24","habronattus_oregonensis",3,0,2,4,4,-0.746854480308307
"25","habronattus_paratus",4,4,3,0,0,-0.991612232996478
"26","habronattus_pugilis",4,4,3,4,4,-3.87011550072067
"27","habronattus_pyrrithrix",1,0,5,1,2,2.89276810894641
"28","habronattus_roberti",3,3,2,2,3,-1.394838700107
"29","habronattus_sansoni",2,3,5,0,0,1.16246528166281
"30","habronattus_signatus",4,0,3,0,1,1.47024585015101
"31","habronattus_tasrsalis",3,3,2,1,1,-0.53758871671871
"32","habronattus_ustulatus",3,3,2,3,1,-1.70159201766633
"33","habronattus_virgulatus",3,0,5,0,2,2.19888751248354
"34","habronattus_zapotecanus",2,1,3,1,3,1.23900755129823
