"","X.1","X","species","song","call","complex.motifs","basic.motif","series","different.syllable","simple.syllable","same.variable.syllable"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","14","NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","5","19","Neoromicia_nanus",0,1,0,0,1,0,1,0
"1","15","NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","18","Myotis_oxygnathus",0,1,0,0,1,0,0,1
"10","8","10","Vespertilio_murinus",1,0,0,1,0,1,0,0
"6","4","2","Cardioderma_cor",1,0,0,1,0,1,0,0
"12","10","9","Nyctalus_leisleri",1,0,0,1,0,1,0,0
"8","6","20","Carollia_perspicillata",0,1,0,0,1,0,0,1
"9","12","12","Pipistrellus_hanaki",1,0,0,1,0,1,0,0
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","9","11","Pipistrellus_nathusii",1,0,1,0,0,1,0,0
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","16","15","Pipistrellus_kuhlii",1,0,0,1,0,0,1,0
"13","11","14","Pipistrellus_pygmaeus",1,0,0,1,0,0,1,0
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
