,species,first.leg,pedipalp,face,second.leg,third.leg,mds_ponts
1,H._aestus,4,5,1,2,2,-3.309059135
2,H._altanus,1,4,1,0,1,0.556262266
3,H._americanus,5,5,5,3,3,-4.209976664
4,H._aztecanus,2,0,4,2,4,1.283414649
5,H._borealis,3,2,4,1,1,0.340606551
6,H._calcaratus_maddisoni,4,2,0,0,0,-0.034358166
7,H._cambridgei,4,5,3,4,2,-4.24473773
8,H._captiosus,0,1,2,0,2,3.120353263
9,H._chamela,2,3,4,1,3,0.053428779
10,H._clypeatus,1,1,5,1,0,2.518145879
11,H._conjunctus,0,0,2,0,0,4.045472158
12,H._decorus,0,1,3,0,0,3.509763948
13,H._empyrus,1,1,5,1,3,2.10527338
14,H._festus,0,0,3,0,2,3.884386178
15,H._geronimoi,2,2,1,2,1,0.054058966
16,H._gilaensis,3,2,1,2,3,-0.85913049
17,H._hallani,4,0,5,4,4,-1.042308546
18,H._hirsutus,4,2,3,3,1,-1.575500226
19,H._icenoglei,5,4,3,5,1,-4.677185775
20,H._jucundus,4,3,1,0,1,-0.707690542
21,H._luminosus,2,3,4,2,1,-0.253324538
22,H._mexicanus,1,1,3,0,2,2.596574492
23,H._ophrys,4,4,3,3,1,-2.875241351
24,H._oregonensis,3,0,2,4,4,-0.74685448
25,H._paratus,4,4,3,0,0,-0.991612233
26,H._pugillis,4,4,3,4,4,-3.870115501
27,H._pyrrithrix,1,0,5,1,2,2.892768109
28,H._roberti,3,3,2,2,3,-1.3948387
29,H._sansoni,2,3,5,0,0,1.162465282
30,H._signatus,4,0,3,0,1,1.47024585
31,H._tarsalis,3,3,2,1,1,-0.537588717
32,H._ustulatus,3,3,2,3,1,-1.701592018
33,H._virgulatus,3,0,5,0,2,2.198887512
34,H._zapotecanus,2,1,3,1,3,1.239007551
