species,FDS,MDS,FC4A,MC4A,FF4,MF4
Asarcus_ingenuus,6.44,6.88,0.77,1.46,8.37,16.82
Ampheres_leucopheus,4.75,5.05,1.83,3.71,13.14,15.2
Asarcus_longipes,7.54,8.21,NA,3.08,21.96,24.42
Acrogonyleptes_rhinoceros,NA,4.32,NA,1.95,NA,NA
Arthrodes_xanthopygus,5.7,5.96,NA,5.97,12,12.48
Bourguyia_trochanteralis,6.42,6.63,0.93,2.03,10.58,20.44
Carinostoma_elegans,5.96,6.09,0.78,4.3,12.28,12.82
Cadeadoius_niger,11.32,12.05,NA,3.58,17.45,18.59
Cobania_picea,8.45,8.39,1.23,6.13,6.66,7.64
Discocyrtoides_nigricans,4.93,4.76,Na,1.36,8.11,14.95
Discocyrtanus_pertenuis,6.87,6.98,1.34,4.63,12.25,14.77
Prionostemma_ruschii,4.09,3.88,0.53,0.69,7.12,14.44
Goniosoma_calcar,9.15,10.68,1.54,3.34,16.97,15.55
Longiperna_cancellata,8.92,9.26,NA,2.92,11.41,18.08
Gonyleptes_horridus,8.9,9.55,0.85,4.3,10.35,11.52
Goniosoma_roridum,7.6,8.78,1.33,3.16,22.58,21.7
Goniosoma_varium,8.58,8.76,1.33,2.99,17.72,17.26
Phalangium_venustum_,8.38,8.71,NA,3.02,23.06,23.75
Heteromitobates_discolor,6.99,7.07,NA,2.37,19.89,20.39
Heliella_singularis,7.83,7.8,NA,2.68,14.58,14.9
Hernandaria_una,4.71,4.85,NA,2.07,4.23,4.3
Iguapeia_melanocephala,7.16,6.95,2.11,2.71,11.92,11.9
Iporangaia_pustulosa,NA,5.7,NA,NA,NA,11.73
"
Ischnotherus_tenebrosus",5.42,5.39,NA,NA,18.73,45.93
Longiperna_concolor,6.27,5.76,NA,1.99,12.18,41.15
M_castanea,6.05,5.16,NA,NA,13.79,34.95
Multumbo_dimorphicus,5.87,5.92,NA,2.67,7.02,8.13
Magnispina_neptunus,5.57,5.64,0.44,0.81,4.52,4.35
Metarthrodes_pulcherrimus,5.64,6.59,NA,2.24,12.68,16.77
Metamitobates_squalidus,4.67,4.24,NA,NA,13.19,38.84
Mitogoniella_taquara,7.13,7.41,NA,2.37,23.03,28
"Mitobates_triangulus
",5.54,5.32,NA,NA,15.81,41.69
Phaericranaus_cf_gracilis,3.82,3.51,0.57,1.38,6.09,10.86
Neosadocus_maximus_,9.56,9.73,NA,4.58,11.69,11.13
Parampheres_albimaculatus,5.44,5.72,0.59,1.07,9.89,12.1
Promitobates_bellus,4.47,4.23,NA,1.85,14.07,36.97
Piassagera_brieni,2.4,2.33,NA,NA,5.56,6.4
Pseudopucrolia_mutica,4.27,4.15,0.39,0.62,3.17,3.34
Promitobates_ornatus,4.91,4.6,NA,NA,12.49,35.57
Pristocnemis_pustulatus,5.67,6.07,0.63,1.22,12.46,14.04
Progonyleptoidellus_striatus,5.82,5.85,1.9,3.74,10.92,12.41
Ruschia_maculata,4.7,4.49,NA,NA,9.76,27.42
Sodreana_barbiellini,7.17,7.04,NA,2.21,13.7,14.82
Serracutisoma_proximum,7.54,7.71,NA,3.59,22.49,25.77
Thereza_speciosa,3.51,3.44,NA,NA,9,10.51
